Depth,RxoRt,RLL3,SP,RILD,MN,MI,MCAL,DCAL,RHOB,RHOC,DPOR,CNLS,GR
952.5,-14.9483,15.401,-114.2075,9.6985,2.4777,1.9672,5.1068,1.8986,1.6404,0.1166,62.5485,25.2351,71.8483
953,-17.1476,14.3989,-113.7078,9.0372,2.3771,1.9281,5.0923,1.8989,1.6338,0.111,62.9355,26.0307,72.5198
953.5,-18.4577,13.6091,-112.2165,8.3155,2.2498,1.9023,5.0932,1.8995,1.63,0.1077,63.1557,27.4485,70.0736
954,-20.2909,12.5336,-109.9151,7.3956,2.0977,1.8565,5.0881,1.8983,1.6305,0.1079,63.129,27.5352,63.5023
954.5,-22.5417,11.2078,-107.1331,6.5149,1.985,1.8097,5.1045,1.8983,1.6362,0.112,62.7971,24.4466,55.2342
955,-24.7895,9.9196,-104.2329,5.9578,1.9823,1.7816,5.0923,1.8999,1.6462,0.119,62.2125,21.2849,50.3734
955.5,-27.8084,9.8281,-101.5255,5.7526,2.1276,1.7992,5.0876,1.9003,1.6576,0.1261,61.546,19.9104,50.1842
956,-32.7625,11.6719,-99.2528,5.6573,2.389,1.8696,5.0966,1.8997,1.668,0.1318,60.9386,20.0605,55.3657
956.5,-39.5389,15.9432,-97.6149,5.3474,2.5942,1.9598,5.1068,1.8997,1.6764,0.137,60.4449,20.9817,66.7442
957,-45.6854,19.3898,-96.7943,4.8357,2.5961,2.0612,5.0934,1.9003,1.6821,0.1419,60.1137,21.8791,78.1436
957.5,-47.461,17.2388,-96.9531,4.4673,2.4783,2.1876,5.0877,1.9005,1.684,0.1451,60.0012,22.8681,82.6284
958,-42.968,12.5404,-98.2013,4.5226,2.3895,2.2747,5.0975,1.9005,1.6819,0.1452,60.1207,24.7441,76.6168
958.5,-33.8619,9.8521,-100.5531,5.1504,2.3491,2.2065,5.1059,1.9001,1.6767,0.1419,60.426,27.9485,64.7182
959,-24.2796,9.9121,-103.8883,6.3719,2.2765,1.9385,5.092,1.8984,1.6696,0.1369,60.8436,31.8555,57.9035
959.5,-18.1999,12.3911,-107.942,7.7672,2.0944,1.5659,5.0887,1.8972,1.6605,0.1308,61.3764,35.2424,67.0287
960,-17.1903,14.2424,-112.343,8.4902,1.8178,1.2044,5.0986,1.8989,1.6471,0.1231,62.1585,36.9205,93.4367
960.5,-18.7606,14.5898,-116.6961,8.4862,1.5655,0.9591,5.1029,1.8999,1.6283,0.1133,63.2579,37.8468,117.2262
961,-18.6835,14.0472,-120.674,8.5731,1.4743,0.912,5.0864,1.8995,1.6083,0.103,64.4292,39.2177,120.6286
961.5,-14.8644,13.4685,-124.0757,9.3786,1.5533,0.9627,5.0832,1.8995,1.5951,0.0955,65.1966,39.1432,114.2929
962,-8.0421,13.262,-126.8325,11.1206,1.6497,0.9761,5.0959,1.8987,1.5955,0.0937,65.176,35.733,114.2583
962.5,-0.9661,13.361,-128.9734,13.4706,1.7235,1.0207,5.1014,1.8991,1.6107,0.0993,64.2852,31.87,119.1162
963,3.1131,14.0741,-130.5797,15.2934,1.8537,1.1373,5.0839,1.8995,1.6366,0.1109,62.7723,31.2861,120.3599
963.5,3.0334,14.9649,-131.7483,15.5904,1.9672,1.201,5.0843,1.8997,1.6646,0.1247,61.1318,33.6451,117.7966
964,0.6746,15.0152,-132.571,14.7756,1.9611,1.1568,5.0961,1.9003,1.6854,0.1353,59.9156,35.2574,112.6756
964.5,-1.4399,14.5929,-133.1216,13.7945,1.8523,1.0422,5.102,1.9001,1.6929,0.1391,59.4783,34.6539,109.0155
965,-2.0642,14.2524,-133.4487,13.0918,1.6707,0.8852,5.0853,1.899,1.6882,0.1368,59.752,34.6986,108.8442
965.5,-1.223,13.2712,-133.5745,12.6786,1.445,0.718,5.0817,1.8989,1.6805,0.1337,60.2053,37.1649,110.1023
966,0.234,11.9085,-133.5058,12.3952,1.2888,0.6191,5.0944,1.8997,1.6817,0.1354,60.1349,40.3391,112.7214
966.5,1.1992,11.2547,-133.2534,12.0899,1.2806,0.627,5.1017,1.8995,1.6987,0.1437,59.1432,39.6187,113.6458
967,1.029,10.9289,-132.8516,11.7367,1.3393,0.6699,5.0854,1.8999,1.7291,0.1564,57.3597,32.3258,109.2623
967.5,-0.3163,11.012,-132.3639,11.3576,1.3543,0.6626,5.0837,1.8991,1.7653,0.1702,55.2481,24.6555,100.2482
968,-2.5339,11.7859,-131.8702,10.9111,1.2866,0.5924,5.0953,1.8979,1.7995,0.1827,53.2459,23.1903,92.2758
968.5,-4.92,12.2846,-131.4384,10.3893,1.1864,0.5158,5.0963,1.8991,1.8284,0.1931,51.5582,26.4573,89.8302
969,-6.4366,12.2554,-131.099,9.9172,1.1105,0.4731,5.0845,1.9003,1.8497,0.2004,50.3109,30.0077,90.3675
969.5,-6.3501,11.5707,-130.8382,9.665,1.0374,0.4449,5.0858,1.9003,1.8565,0.2024,49.9095,30.2148,87.6303
970,-4.8925,10.51,-130.6168,9.7232,0.9,0.3949,5.1031,1.8997,1.8396,0.1955,50.9033,27.525,80.6192
970.5,-3.3714,10.0763,-130.3992,10.0118,0.7512,0.3505,5.0994,1.8991,1.8034,0.1815,53.0163,24.8473,76.7611
971,-3.3509,10.4817,-130.1735,10.2269,0.7771,0.3805,5.0975,1.8978,1.7725,0.1707,54.8221,25.9694,84.3952
971.5,-5.1559,12.1344,-129.949,10.0293,0.9381,0.4533,5.0868,1.8968,1.7647,0.1705,55.2822,31.6376,98.3721
972,-7.1711,13.2669,-129.741,9.4493,0.957,0.457,5.1018,1.898,1.7639,0.1738,55.3277,37.1015,103.6831
972.5,-7.2084,11.4952,-129.5602,8.8704,0.7547,0.3693,5.0997,1.8991,1.7351,0.1645,57.0119,37.7653,99.3905
973,-4.904,8.6217,-129.4144,8.6297,0.5092,0.2698,5.0981,1.8999,1.6712,0.1387,60.7484,35.269,97.4697
973.5,-2.6824,7.1644,-129.3145,8.8328,0.4164,0.2325,5.0863,1.8997,1.6071,0.1109,64.4985,34.0839,98.8405
974,-3.4231,8.3074,-129.2739,9.3491,0.4796,0.2471,5.1027,1.8997,1.581,0.0983,66.0255,33.8751,97.999
974.5,-7.2294,11.7401,-129.2992,9.8782,0.5777,0.2716,5.1,1.9003,1.6022,0.1061,64.7827,32.2122,96.0158
975,-12.0568,14.9032,-129.3817,10.2163,0.6551,0.2951,5.0928,1.9001,1.6541,0.1276,61.7486,31.073,96.5999
975.5,-15.6101,16.3393,-129.4985,10.5243,0.7173,0.3149,5.0874,1.899,1.7127,0.1532,58.3199,31.5102,102.4386
976,-16.1561,17.5878,-129.6218,11.1884,0.7342,0.3137,5.1087,1.899,1.7601,0.1749,55.5468,30.6926,112.6949
976.5,-13.0877,18.7559,-129.7289,12.4938,0.6832,0.292,5.0996,1.9001,1.7887,0.1885,53.8766,27.7807,114.9264
977,-7.2456,18.2856,-129.806,14.4404,0.6134,0.2746,5.0923,1.9,1.8021,0.1941,53.0965,26.2177,105.791
977.5,-0.4851,16.4745,-129.8437,16.7703,0.5862,0.2738,5.0879,1.8995,1.8117,0.1966,52.5325,28.2202,100.0439
978,5.1648,15.3203,-129.8308,19.066,0.612,0.2925,5.1084,1.8997,1.8281,0.2007,51.5704,32.2353,104.3372
978.5,8.1849,16.3541,-129.7497,20.6696,0.6452,0.3183,5.0969,1.8993,1.8512,0.2069,50.2196,36.8361,114.337
979,8.6959,18.2387,-129.5756,21.1859,0.635,0.3252,5.0911,1.8989,1.8696,0.2119,49.1458,40.5582,122.1133
979.5,8.493,17.5014,-129.278,21.2199,0.5898,0.3028,5.0873,1.8985,1.8742,0.2127,48.878,41.523,118.8787
980,8.7932,15.7496,-128.8247,21.6312,0.5867,0.2907,5.1071,1.8986,1.8695,0.2111,49.1534,40.657,106.5835
980.5,9.4828,16.6998,-128.1903,22.8352,0.6636,0.3168,5.0976,1.8979,1.8668,0.2105,49.3092,38.0652,96.0974
981,10.5265,18.9515,-127.3698,24.9653,0.7798,0.3543,5.0924,1.8991,1.8761,0.214,48.7656,34.2796,90.7584
981.5,12.0145,20.7697,-126.3945,27.6471,0.9103,0.388,5.0865,1.9001,1.906,0.2251,47.0188,31.2522,88.9228
982,13.2887,23.043,-125.342,29.5257,1.0386,0.4282,5.1079,1.8991,1.9586,0.2452,43.9424,28.5786,91.2599
982.5,13.4333,23.1799,-124.3318,28.9668,1.1265,0.466,5.0981,1.8979,2.0216,0.2691,40.2552,26.1139,97.587
983,11.8821,20.0573,-123.5023,25.4838,1.1566,0.4839,5.0864,1.899,2.0745,0.2882,37.1613,25.268,100.3887
983.5,8.6464,15.8162,-122.9732,20.327,1.1308,0.4767,5.0845,1.8991,2.1041,0.2978,35.4353,25.9882,98.1832
984,4.3267,12.4555,-122.8049,15.3748,1.0654,0.4509,5.1066,1.8987,2.1102,0.2994,35.0757,26.9822,96.852
984.5,-0.556,10.8165,-122.9739,11.5841,0.9927,0.4221,5.0903,1.8999,2.1001,0.2972,35.6667,26.8827,92.5217
985,-5.4723,9.9023,-123.3778,9.0504,0.9287,0.3985,5.0873,1.9003,2.08,0.2928,36.8412,25.2451,84.9255
985.5,-9.9646,8.9622,-123.877,7.5466,0.8764,0.3803,5.0857,1.8993,2.0514,0.2848,38.5146,23.7486,80.0098
986,-14.4241,8.5483,-124.359,6.7696,0.8329,0.3625,5.1068,1.8986,2.0108,0.2697,40.8877,23.4741,74.1576
986.5,-19.6596,9.3494,-124.7932,6.4565,0.7739,0.3324,5.0912,1.8991,1.9542,0.2458,44.2009,23.7657,68.1964
987,-25.5167,11.3446,-125.2441,6.4223,0.7018,0.2996,5.0866,1.8991,1.886,0.216,48.1881,24.1488,69.1771
987.5,-30.578,14.6228,-125.8299,6.5687,0.6562,0.286,5.0832,1.8981,1.8232,0.1891,51.86,24.9643,75.7557
988,-32.8462,18.2201,-126.653,6.9329,0.6067,0.2684,5.1047,1.8978,1.7816,0.1728,54.2937,26.3781,86.1213
988.5,-30.6332,18.8591,-127.744,7.7094,0.5186,0.2373,5.0965,1.8981,1.7609,0.1671,55.5045,28.1213,101.6532
989,-23.6203,16.9778,-129.0494,9.1635,0.4429,0.2151,5.0957,1.8993,1.7493,0.1656,56.1822,29.5255,115.2539
989.5,-13.2792,15.8386,-130.461,11.4882,0.4103,0.2066,5.09,1.9003,1.738,0.163,56.843,30.2214,118.9086
990,-2.3203,15.1995,-131.8602,14.5186,0.404,0.2069,5.1104,1.8999,1.7249,0.1577,57.6111,31.4876,114.185
990.5,6.3089,14.6824,-133.1528,17.3578,0.4058,0.2095,5.0964,1.8987,1.7093,0.1498,58.5184,34.7326,107.32
991,10.8443,14.2545,-134.2835,18.8406,0.4047,0.2104,5.0938,1.8987,1.6924,0.1407,59.5076,38.3115,103.1326
991.5,11.295,13.5172,-135.2343,18.7377,0.4102,0.2132,5.0892,1.8985,1.6824,0.1348,60.0918,38.5764,101.438
992,8.945,13.0243,-136.0145,17.9865,0.4421,0.2205,5.1074,1.8993,1.6956,0.1392,59.3243,35.3393,100.3704
992.5,5.3103,13.8722,-136.6506,17.6248,0.5091,0.2322,5.0937,1.9003,1.7462,0.1591,56.3611,31.1293,101.1451
993,1.0003,16.2234,-137.1779,17.8575,0.5981,0.2472,5.0936,1.8999,1.8368,0.1945,51.0638,28.3302,102.6017
993.5,-3.6199,19.5178,-137.6393,18.4462,0.6831,0.2622,5.0872,1.8983,1.9561,0.2393,44.0903,27.2744,104.8538
994,-7.0155,23.467,-138.0882,19.6045,0.7442,0.2741,5.1061,1.8983,2.0838,0.2843,36.6171,25.7069,108.0042
994.5,-7.8602,27.7979,-138.5927,21.5885,0.771,0.2799,5.0931,1.8995,2.195,0.3201,30.1146,23.4401,105.8935
995,-5.5541,31.2798,-139.2323,24.5302,0.7646,0.2779,5.0943,1.8989,2.2634,0.3393,26.1181,22.2935,96.6941
995.5,0.6316,31.246,-140.0788,29.0662,0.7355,0.2693,5.0889,1.8979,2.2755,0.3403,25.4078,22.5486,85.8913
996,8.2638,27.9817,-141.1667,33.8959,0.6958,0.258,5.1083,1.8981,2.2453,0.3299,27.1761,23.4621,80.1029
996.5,10.0235,25.5479,-142.4617,32.5343,0.641,0.2439,5.0981,1.8984,2.1968,0.3154,30.0097,24.5883,81.9293
997,5.3051,23.7652,-143.847,25.2947,0.5423,0.2225,5.0889,1.8972,2.1337,0.2959,33.7024,25.6922,88.3892
997.5,1.2311,19.5754,-145.1428,18.9341,0.3984,0.1978,5.0965,1.8983,2.0392,0.2643,39.2293,26.8011,94.5328
998,1.9546,12.986,-146.1602,15.2258,0.2749,0.1817,5.1053,1.8989,1.9098,0.2188,46.7941,28.6893,97.0437
998.5,6.696,8.4435,-146.7646,13.4691,0.2271,0.1771,5.0905,1.8987,1.7739,0.1691,54.7444,31.1451,96.2083
999,10.6525,7.4333,-146.9154,12.5315,0.2298,0.1764,5.0867,1.8993,1.6665,0.1281,61.0233,32.8645,92.8797
999.5,9.6695,8.452,-146.6589,11.4821,0.2396,0.1764,5.0966,1.8979,1.601,0.1012,64.8548,33.0297,90.1009
1000,4.8782,9.5797,-146.0864,10.2456,0.2459,0.1777,5.1067,1.8976,1.5685,0.0867,66.7561,31.8212,94.4673
1000.5,-0.066,9.5347,-145.287,9.2805,0.2563,0.1788,5.0925,1.8988,1.5556,0.0816,67.5109,31.6481,101.7369
1001,-3.0999,9.0202,-144.3215,8.9543,0.2754,0.1803,5.0881,1.8984,1.5572,0.0847,67.4164,32.9902,104.336
1001.5,-4.3634,9.2616,-143.223,9.4549,0.315,0.1876,5.0958,1.8991,1.5785,0.0956,66.1705,32.3359,102.8848
1002,-5.0748,10.5738,-142.0119,10.7971,0.3864,0.2018,5.1038,1.8987,1.631,0.1169,63.0982,29.3695,105.0684
1002.5,-6.132,13.578,-140.7118,12.7334,0.4684,0.2129,5.0923,1.8979,1.7225,0.1515,57.7474,27.5969,111.4233
1003,-7.2276,18.9651,-139.3565,14.9001,0.5288,0.216,5.0876,1.8994,1.844,0.1964,50.6421,26.7816,114.002
1003.5,-6.9731,22.3143,-137.9884,17.2761,0.5653,0.2186,5.0965,1.8996,1.968,0.241,43.392,24.8412,111.0084
1004,-4.2623,23.8465,-136.6501,20.1323,0.5869,0.2234,5.1058,1.8997,2.0618,0.2733,37.9046,23.4463,106.2149
1004.5,0.9947,24.9313,-135.3744,23.6333,0.579,0.2237,5.0928,1.9003,2.1046,0.2865,35.4021,23.8869,99.7532
1005,8.1376,24.1322,-134.174,27.617,0.5339,0.2175,5.0867,1.9003,2.098,0.282,35.7892,24.0257,92.4056
1005.5,15.2797,20.8144,-133.0382,30.8536,0.4916,0.2138,5.097,1.8997,2.0638,0.268,37.7901,23.3562,92.9526
1006,19.6635,19.1025,-131.9395,30.9493,0.4729,0.2106,5.1062,1.8996,2.0224,0.2513,40.2131,24.7557,101.8668
1006.5,20.7942,17.1811,-130.8508,27.654,0.4292,0.1973,5.0898,1.8996,1.9784,0.2325,42.7809,28.2944,107.1311
1007,20.0642,12.7779,-129.7671,23.0631,0.3611,0.1845,5.0828,1.8996,1.938,0.212,45.1433,29.7661,105.2156
1007.5,17.091,9.9243,-128.7167,18.3282,0.3452,0.1888,5.0958,1.8995,1.9237,0.1972,45.981,28.8724,101.894
1008,10.9776,9.7584,-127.7517,14.0283,0.4012,0.205,5.1012,1.8993,1.9563,0.1952,44.0735,29.4865,97.8405
1008.5,3.1014,10.2719,-126.9202,10.7291,0.4727,0.2168,5.0838,1.8994,2.0295,0.2034,39.7928,31.4895,92.7256
1009,-4.1089,9.6913,-126.2399,8.5397,0.5093,0.2184,5.0839,1.9,2.1103,0.2114,35.0723,30.7774,86.405
1009.5,-9.6244,8.5145,-125.6923,7.2485,0.5191,0.2179,5.0963,1.8999,2.168,0.2133,31.6931,27.9813,80.2401
1010,-14.1672,8.2837,-125.2437,6.5968,0.5285,0.2205,5.1017,1.8981,2.2019,0.2136,29.715,27.5339,76.4693
1010.5,-18.7946,9.417,-124.8735,6.341,0.5395,0.2231,5.0844,1.897,2.2253,0.2182,28.3463,29.6056,77.0312
1011,-23.5652,11.4907,-124.5889,6.2795,0.5308,0.2195,5.083,1.8973,2.2352,0.225,27.7636,31.2607,80.8217
1011.5,-27.5416,13.4073,-124.4188,6.3354,0.4818,0.2065,5.0949,1.8991,2.2136,0.2286,29.0274,31.2379,85.8214
1012,-29.4529,14.2324,-124.3984,6.5973,0.406,0.1894,5.1004,1.9006,2.1559,0.2286,32.4054,30.7852,93.4012
1012.5,-28.3438,15.3308,-124.5553,7.2549,0.3443,0.1783,5.0834,1.901,2.0848,0.2293,36.5615,30.2346,104.4411
1013,-24.0426,15.9201,-124.8988,8.5244,0.3219,0.1756,5.0833,1.8999,2.0316,0.2344,39.6713,29.8057,115.4137
1013.5,-17.3947,16.2075,-125.4152,10.5698,0.3387,0.1796,5.0955,1.898,2.014,0.2431,40.6993,32.0676,117.8068
1014,-10.071,17.0601,-126.0667,13.3204,0.382,0.1886,5.101,1.898,2.0307,0.2524,39.7266,35.786,117.4349
1014.5,-3.9874,18.2017,-126.8002,16.1705,0.4335,0.1985,5.0857,1.8985,2.0657,0.2585,37.681,37.1878,121.6042
1015,-0.4359,19.3092,-127.5588,18.066,0.4685,0.2038,5.0836,1.8999,2.0992,0.2597,35.7209,36.5752,121.7417
1015.5,0.991,19.4246,-128.2926,18.6195,0.4678,0.2025,5.0952,1.9004,2.1222,0.258,34.3745,35.7298,118.5651
1016,1.7025,17.2617,-128.9626,18.5555,0.4525,0.2002,5.0941,1.9003,2.1452,0.2589,33.0299,33.9981,119.767
1016.5,1.9593,15.5865,-129.5419,18.5007,0.4686,0.2047,5.0843,1.8995,2.189,0.2669,30.4681,31.4083,116.5089
1017,1.3187,17.039,-130.0176,18.4776,0.5269,0.2156,5.0827,1.8984,2.2645,0.2816,26.05,30.4536,102.1192
1017.5,0.3617,20.4283,-130.3924,18.2868,0.5902,0.2252,5.0938,1.8976,2.3566,0.2965,20.6648,32.0236,86.3507
1018,0.19,20.2797,-130.6851,17.8029,0.6212,0.2289,5.0972,1.8976,2.4202,0.3007,16.9488,33.9615,77.4585
1018.5,1.1968,15.915,-130.9281,17.204,0.6264,0.2308,5.0962,1.8976,2.4085,0.2864,17.6333,34.1049,76.9014
1019,2.611,13.085,-131.1621,16.8327,0.6203,0.2309,5.0853,1.8986,2.3274,0.261,22.3744,33.0715,81.9911
1019.5,3.1001,14.4685,-131.4281,16.6748,0.5887,0.2234,5.1031,1.8992,2.2279,0.2405,28.1951,31.471,85.172
1020,2.5114,17.3224,-131.7569,16.3971,0.5057,0.2049,5.0944,1.8991,2.1442,0.2316,33.0856,28.9115,83.7715
1020.5,2.1313,16.3767,-132.1637,15.9686,0.3971,0.1857,5.092,1.8984,2.0784,0.2291,36.9344,27.3111,84.2568
1021,2.9643,13.5343,-132.6497,15.7978,0.3368,0.18,5.0869,1.8985,2.0262,0.2274,39.9855,28.836,89.031
1021.5,4.685,12.7591,-133.2128,16.3459,0.3397,0.1842,5.1031,1.899,1.9952,0.2269,41.8018,31.9202,96.1927
1022,6.4166,13.8462,-133.8551,17.8346,0.3763,0.1907,5.099,1.8985,1.996,0.2316,41.7517,32.3902,100.3772
1022.5,7.8601,16.1374,-134.5839,20.1129,0.4196,0.1969,5.0956,1.8988,2.0269,0.2436,39.9489,30.3596,100.2512
1023,9.6011,19.0434,-135.4055,22.8855,0.449,0.2018,5.0842,1.8988,2.0697,0.2589,37.4461,29.3025,100.8198
1023.5,12.2393,20.3291,-136.3163,25.8437,0.4593,0.2069,5.1003,1.8982,2.1037,0.2712,35.4561,30.9317,100.4753
1024,14.2986,19.9289,-137.2942,27.5003,0.4468,0.2092,5.0996,1.8985,2.1152,0.2753,34.7813,34.4674,102.2432
1024.5,12.7942,19.5772,-138.285,25.4075,0.3949,0.2015,5.0996,1.8995,2.0892,0.2667,36.3033,36.9381,109.474
1025,7.7603,18.2341,-139.1871,20.2652,0.3042,0.1823,5.0935,1.9003,2.0106,0.2417,40.9011,36.7221,116.8056
1025.5,2.9561,14.6959,-139.8392,15.2915,0.2112,0.1613,5.1099,1.9004,1.8862,0.2027,48.1733,35.806,117.7494
1026,1.8589,10.652,-140.0268,12.079,0.1524,0.15,5.1011,1.8999,1.7502,0.1587,56.1272,35.1757,112.0911
1026.5,4.8504,7.6042,-139.5214,10.582,0.1445,0.1497,5.0993,1.8986,1.6475,0.1227,62.1365,32.6085,104.4892
1027,8.6035,6.2076,-138.1516,10.2825,0.1984,0.1623,5.0926,1.8986,1.6179,0.1087,63.8642,27.4992,97.2444
1027.5,8.4457,6.6256,-135.883,10.4525,0.3121,0.1839,5.1063,1.9,1.6809,0.125,60.1788,23.7022,89.9714
1028,2.6579,9.0076,-132.8661,10.2062,0.4376,0.1996,5.0974,1.9006,1.8215,0.1647,51.9577,22.4494,83.9812
1028.5,-6.1755,12.4096,-129.4147,9.284,0.5083,0.2039,5.0927,1.899,1.9918,0.2088,42.0002,21.3632,82.1642
1029,-13.3279,13.3966,-125.9177,8.3449,0.5239,0.2032,5.0888,1.898,2.1335,0.239,33.7147,20.5978,84.5969
1029.5,-15.3805,12.3687,-122.727,8.0167,0.5213,0.2018,5.109,1.8974,2.2142,0.2493,28.9956,21.0237,84.4447
1030,-11.9172,11.2954,-120.0785,8.5248,0.5173,0.2013,5.099,1.8975,2.2446,0.2477,27.2178,21.8876,75.7936
1030.5,-5.1195,10.8056,-118.0786,9.8155,0.5132,0.1996,5.0923,1.8977,2.2545,0.2448,26.6367,22.3263,66.7451
1031,1.3134,10.5768,-116.7438,11.4087,0.5092,0.1959,5.0875,1.8984,2.2646,0.2452,26.0455,22.5413,64.0654
1031.5,4.0429,10.5976,-116.0587,12.3647,0.5098,0.1934,5.1076,1.8999,2.2797,0.2469,25.1623,22.9242,63.5171
1032,2.5431,11.6906,-116.0185,12.1783,0.5132,0.1928,5.097,1.9001,2.2933,0.2469,24.3703,23.1388,59.2628
1032.5,-0.8179,12.4935,-116.6396,11.402,0.5078,0.191,5.0922,1.8998,2.2943,0.2434,24.307,22.7397,52.9114
1033,-3.4204,11.4045,-117.9409,10.8966,0.4896,0.1874,5.0853,1.9008,2.2775,0.2374,25.2904,22.7095,49.9088
1033.5,-4.2444,10.718,-119.9085,11.1792,0.4656,0.1839,5.1072,1.901,2.249,0.2325,26.9587,24.0168,53.5557
1034,-3.338,12.72,-122.4623,12.3814,0.4332,0.1786,5.0973,1.8997,2.2188,0.2312,28.7256,26.2541,65.0248
1034.5,-0.9639,16.1649,-125.4413,14.2023,0.385,0.1696,5.0875,1.8981,2.1857,0.2309,30.6587,27.9144,77.4835
1035,1.9942,17.3842,-128.6176,15.7452,0.3281,0.1613,5.0834,1.898,2.134,0.225,33.685,28.173,88.4025
1035.5,4.0861,15.3629,-131.7352,15.861,0.2811,0.1591,5.1029,1.8997,2.0459,0.2079,38.8346,28.3969,105.2916
1036,5.029,13.314,-134.5579,14.4333,0.2426,0.1598,5.0868,1.9,1.9193,0.1791,46.2378,29.7353,125.5988
1036.5,6.2257,10.3715,-136.9064,12.5514,0.2001,0.1576,5.0846,1.8994,1.7749,0.1432,54.6821,31.5767,132.8578
1037,8.1248,7.5868,-138.6776,10.9541,0.163,0.1542,5.0836,1.8993,1.644,0.1076,62.3372,33.926,124.9761
1037.5,9.3015,6.671,-139.8475,9.7015,0.1423,0.1511,5.1067,1.8986,1.5455,0.0776,68.1005,36.9934,116.4169
1038,8.5618,6.6162,-140.463,8.7474,0.1348,0.1495,5.0893,1.8993,1.479,0.0548,71.9864,39.9656,109.8092
1038.5,5.8677,6.5427,-140.6257,8.096,0.1376,0.1499,5.0872,1.8993,1.4432,0.0415,74.0816,41.136,101.0286
1039,1.3218,6.5394,-140.4718,7.7407,0.1557,0.1522,5.0857,1.8989,1.4514,0.0452,73.6036,39.583,94.5993
1039.5,-4.7051,7.2062,-140.1514,7.6876,0.1982,0.1576,5.1061,1.8985,1.5193,0.072,69.6305,36.778,94.4295
1040,-10.7166,9.7259,-139.8115,7.9201,0.2576,0.1648,5.0928,1.8991,1.6399,0.1168,62.5789,33.8953,95.5639
1040.5,-14.8048,13.7677,-139.5803,8.3349,0.3037,0.1678,5.0883,1.8995,1.7739,0.1634,54.7428,30.2846,95.6883
1041,-15.6612,15.8424,-139.5529,8.8356,0.3158,0.1662,5.0839,1.8996,1.8683,0.1932,49.2212,27.0709,97.8661
1041.5,-12.4815,14.3753,-139.7807,9.5395,0.3045,0.1651,5.1047,1.8988,1.8964,0.1985,47.5808,25.9006,101.7499
1042,-5.1797,11.7723,-140.2687,10.7894,0.292,0.1674,5.0887,1.8977,1.8751,0.1867,48.8224,26.6281,106.501
1042.5,4.4976,10.3866,-140.98,12.7634,0.2881,0.1709,5.0858,1.8983,1.8366,0.1708,51.0768,28.8135,112.2749
1043,12.7719,10.5571,-141.8455,14.7554,0.2832,0.1717,5.0846,1.8987,1.799,0.1592,53.2764,31.2721,113.6039
1043.5,16.1089,10.46,-142.7767,15.1746,0.2677,0.1694,5.107,1.898,1.767,0.1537,55.1474,32.6118,108.975
1044,14.0901,9.639,-143.6772,13.4744,0.2457,0.1669,5.0909,1.8976,1.7418,0.1526,56.6211,33.4497,104.2506
1044.5,9.4284,8.7824,-144.4509,10.9599,0.2173,0.1638,5.09,1.8977,1.7218,0.1525,57.7899,35.6357,104.938
1045,5.5965,7.6005,-145.0097,8.9881,0.1767,0.1563,5.0946,1.8984,1.7016,0.1499,58.9731,36.921,110.2882
1045.5,4.0276,6.5461,-145.2843,7.884,0.1385,0.1475,5.107,1.8985,1.6798,0.1441,60.2485,35.7764,112.3428
1046,3.6645,6.1905,-145.2396,7.4088,0.1215,0.1427,5.093,1.8977,1.6654,0.1392,61.0899,35.6096,111.1079
1046.5,2.8602,6.29,-144.89,7.2985,0.1233,0.1414,5.0936,1.8983,1.6705,0.1411,60.792,36.4567,104.9519
1047,0.6189,6.6587,-144.3026,7.3727,0.141,0.1431,5.0882,1.8984,1.6978,0.1517,59.194,36.8475,94.3603
1047.5,-3.2682,7.5645,-143.5822,7.5027,0.17,0.1478,5.1072,1.8985,1.7362,0.166,56.9483,36.4379,92.1771
1048,-7.6166,9.123,-142.842,7.7523,0.1972,0.1526,5.0932,1.8991,1.7697,0.1766,54.9893,34.3692,98.8324
1048.5,-10.2368,10.8949,-142.1738,8.4016,0.2189,0.1567,5.0961,1.8988,1.7941,0.1818,53.5619,31.7456,106.4738
1049,-9.5128,12.5234,-141.6316,9.777,0.2398,0.1597,5.0913,1.8982,1.8179,0.1861,52.1696,30.2238,112.9378
1049.5,-4.7907,14.2964,-141.2319,12.254,0.2559,0.1593,5.1108,1.8985,1.8412,0.1914,50.8053,29.7701,111.4422
1050,3.3679,15.9825,-140.9629,16.0891,0.254,0.1545,5.1026,1.8995,1.8466,0.1923,50.4917,29.7958,101.8866
1050.5,11.3966,16.3949,-140.7926,19.964,0.232,0.1484,5.1007,1.9002,1.819,0.1838,52.1068,29.7475,97.6269
1051,13.8393,15.2231,-140.6724,20.2587,0.2023,0.1446,5.0893,1.8993,1.7605,0.1656,55.525,29.6916,98.6952
1051.5,10.3861,13.1948,-140.5374,16.7582,0.1747,0.1415,5.107,1.8983,1.6796,0.1389,60.2567,31.6228,99.8941
1052,5.6165,10.9494,-140.3088,12.8928,0.1485,0.1367,5.0931,1.8988,1.5836,0.1051,65.8694,34.8995,100.3052
1052.5,2.8595,9.028,-139.9017,10.3094,0.1274,0.1336,5.0901,1.8991,1.4863,0.0684,71.5624,35.56,100.8599
1053,2.5017,7.4293,-139.2413,9.0261,0.1293,0.1369,5.0883,1.8985,1.4119,0.0388,75.9106,34.0792,99.8292
